arch_id,uniqArch,score,time,acc
25,#+#+#+0,1231.4625244140625,0.0727611849997629,57.299999965413406
29,#+((0)@nor_conv_3x3)@avg_pool_3x3+(0)@avg_pool_3x3,1538.355712890625,0.242890964000253,61.71333330891927
30,#+#+(0)@nor_conv_3x3,1561.015380859375,0.2399052860000665,66.45999998779297
69,#+(#+(0)@nor_conv_3x3)@nor_conv_3x3+0,1513.0897216796875,0.2485924679999698,70.15999997965496
70,#+#+(0)@nor_conv_3x3,1561.015380859375,0.2399052860000665,66.86000000813802
72,#+#+#+0,1231.4625244140625,0.0727611849997629,57.95999994913737
78,#+#+(0)@nor_conv_3x3,1561.015380859375,0.2399052860000665,66.79333333536783
79,#+(#+0)@nor_conv_3x3+0,1433.273193359375,0.1649994370000058,67.09333339029948
97,#+#+(0)@nor_conv_1x1,1561.523681640625,0.2460816120001254,62.09333331502279
104,#+#+#,1232.3076171875,0.24574176599981,0.9999999992370605
105,#+#+(#+#)@avg_pool_3x3,-inf,0.1035268189998532,0.9999999994913736
108,#+#+(#+#)@avg_pool_3x3,-inf,0.1035268189998532,0.9999999992370605
119,#+(#+(0)@nor_conv_1x1)@nor_conv_3x3+(0)@nor_conv_1x1,1569.0006103515625,0.2437661349999871,69.03999998779297
120,#+#+#,1232.3076171875,0.24574176599981,0.9999999994913736
125,#+((0)@avg_pool_3x3)@nor_conv_1x1+(0)@nor_conv_1x1,1555.6041259765625,0.2437986979998641,64.93999998168945
132,#+0+(0)@nor_conv_1x1+(0)@nor_conv_3x3,1506.3216552734375,0.157986646000154,66.90666667277019
142,#+(#+(0)@nor_conv_1x1)@nor_conv_3x3+(0)@nor_conv_1x1,1569.0006103515625,0.2437661349999871,68.66000002441406
161,#+#+(0)@avg_pool_3x3+(0)@nor_conv_3x3,1498.2457275390625,0.161127838000084,65.35999999796549
166,#+#+(0)@nor_conv_1x1,1561.523681640625,0.2460816120001254,62.09333332519532
170,#+#+(0)@nor_conv_1x1,1561.523681640625,0.2460816120001254,62.35333330078125
176,#+(#+(0)@avg_pool_3x3)@nor_conv_1x1+0,1410.956787109375,0.1641070640002908,62.45999997355144
180,#+((0)@nor_conv_3x3)@nor_conv_3x3+(0)@nor_conv_1x1,1568.818603515625,0.2432070859999839,69.18666657307942
182,#+#+#,1232.3076171875,0.24574176599981,0.9999999998728434
186,#+#+0,1238.956787109375,0.0682266250000793,58.18666664632161
196,#+#+0,1238.956787109375,0.0682266250000793,57.29999997558594
201,#+#+0,1238.956787109375,0.0682266250000793,57.70666662190755
210,#+#+(0)@avg_pool_3x3,1388.0450439453125,0.1061204980001093,46.813333325195316
212,#+((0)@nor_conv_3x3)@nor_conv_3x3+(0)@nor_conv_1x1,1568.818603515625,0.2432070859999839,69.40666668701171
213,#+(#+(0)@avg_pool_3x3)@nor_conv_1x1+(0)@nor_conv_3x3,1508.012451171875,0.2479742529999384,67.29333333740236
215,#+#+(0)@avg_pool_3x3,1388.0450439453125,0.1061204980001093,47.10666667683919
217,((0)@avg_pool_3x3+(0)@avg_pool_3x3)@nor_conv_3x3+(0)@avg_pool_3x3+(0)@nor_conv_3x3,1489.364013671875,0.1632195180000053,65.57999998168945
220,((0)@nor_conv_3x3+0)@avg_pool_3x3+(0)@avg_pool_3x3+(0)@nor_conv_3x3,1392.937255859375,0.1086269279999214,57.49333333333333
223,#+#+((0)@avg_pool_3x3)@avg_pool_3x3,1186.124267578125,0.073037301000113,39.73333331604004
225,#+#+#,1232.3076171875,0.24574176599981,0.9999999996185304
230,#+(#+(0)@nor_conv_1x1)@nor_conv_1x1+(0)@nor_conv_1x1,1569.064453125,0.2439734820000012,64.6533333190918
233,#+#+(#+#)@avg_pool_3x3,-inf,0.1035268189998532,0.9999999997456869
235,#+((0)@nor_conv_3x3)@nor_conv_3x3+(0)@nor_conv_1x1,1568.818603515625,0.2432070859999839,68.78666666259765
243,#+#+0,1238.956787109375,0.0682266250000793,57.446666634114585
249,#+((0)@nor_conv_1x1)@nor_conv_3x3+(0)@nor_conv_1x1,1571.1728515625,0.2422528259999126,68.10666663614909
250,#+(#+(0)@nor_conv_3x3)@nor_conv_3x3+0,1513.0897216796875,0.2485924679999698,70.57333327636718
269,#+(#+#)@nor_conv_1x1+(0)@nor_conv_3x3,1444.7646484375,0.2471319790001871,66.78000000203451
270,#+((0)@nor_conv_3x3)@avg_pool_3x3+(0)@avg_pool_3x3,1538.355712890625,0.242890964000253,61.113333325195306
275,#+#+0,1238.956787109375,0.0682266250000793,58.35333329874675
278,#+#+0,1238.956787109375,0.0682266250000793,57.49999993896484
281,#+(#+(0)@nor_conv_1x1)@nor_conv_1x1+(0)@nor_conv_3x3,1571.12744140625,0.2414047540000865,68.30000000610352
284,#+#+(0)@nor_conv_1x1,1561.523681640625,0.2460816120001254,61.67999998779297
287,#+(#+(0)@avg_pool_3x3)@nor_conv_3x3+(0)@nor_conv_1x1,1515.7772216796875,0.1625727819996427,67.2333333618164
294,#+#+(0)@nor_conv_3x3,1561.015380859375,0.2399052860000665,67.17333326009116
295,#+((0)@nor_conv_3x3)@nor_conv_3x3+0,1516.9178466796875,0.1568182890000571,69.92666662597657
299,#+(0)@avg_pool_3x3+(0)@nor_conv_3x3,1407.6749267578125,0.1103913569995711,65.67999997558594
304,#+#+((0)@nor_conv_3x3)@avg_pool_3x3,1498.25244140625,0.1659425120001287,59.90000002441406
313,#+#+(0)@avg_pool_3x3,1388.0450439453125,0.1061204980001093,47.21999998982748
